areacode,districtcode,city_geocode,city,district_geocode,district,lon,lat,sta_fc,sta_rt,province,fc_lon,fc_lat,rt_lon,rt_lat,origin_areacode,exclude
101281804,441721,441700,阳江市,441721,阳西,111.617556,21.75367,59663,59663,广东省,111.9783,21.8453,111.9783,21.8453,101281804,0
101281802,441781,441700,阳江市,441781,阳春,111.7905,22.169598,59469,59469,广东省,111.7833,22.1667,111.7833,22.1667,101281802,0
101281301,441800,441800,清远市,441800,清远,113.051227,23.685022,59280,59280,广东省,113.085,23.7106,113.085,23.7106,101281301,1
101281309,441802,441800,清远市,441802,清城,113.048698,23.688976,59280,59280,广东省,113.085,23.7106,113.085,23.7106,101281309,0
101281308,441803,441800,清远市,441803,清新,113.015203,23.736949,59280,59280,广东省,113.085,23.7106,113.085,23.7106,101281308,0
101281306,441821,441800,清远市,441821,佛冈,113.534094,23.866739,59087,59087,广东省,113.5228,23.8814,113.5228,23.8814,101281306,0
101281305,441823,441800,清远市,441823,阳山,112.634019,24.470286,59075,59075,广东省,112.6319,24.4731,112.6319,24.4731,101281305,0
101281304,441825,441800,清远市,441825,连山,112.086555,24.567271,59074,59074,广东省,112.0728,24.5728,112.0728,24.5728,101281304,0
101281302,441826,441800,清远市,441826,连南,112.290808,24.719097,59071,59071,广东省,112.2778,24.7322,112.2778,24.7322,101281302,0
101281307,441881,441800,清远市,441881,英德,113.405404,24.18612,59088,59088,广东省,113.4133,24.1906,113.4133,24.1906,101281307,0
101281303,441882,441800,清远市,441882,连州,112.379271,24.783966,59072,59072,广东省,112.3708,24.8108,112.3708,24.8108,101281303,0
101281601,441900,441900,东莞市,441900,东莞,113.746262,23.046237,59289,59289,广东省,113.7389,22.9661,113.7389,22.9661,101281601,0
101281701,442000,442000,中山市,442000,中山,113.382391,22.521113,59485,59485,广东省,113.4,22.5,113.4,22.5,101281701,0
101281501,445100,445100,潮州市,445100,潮州,116.632301,23.661701,59312,59312,广东省,116.6989,23.6686,116.6989,23.6686,101281501,1
101281504,445102,445100,潮州市,445102,湘桥,116.63365,23.664675,59312,59312,广东省,116.6989,23.6686,116.6989,23.6686,101281504,0
101281503,445103,445100,潮州市,445103,潮安,116.67931,23.461012,59312,59312,广东省,116.6989,23.6686,116.6989,23.6686,101281503,0
101281502,445122,445100,潮州市,445122,饶平,117.00205,23.668171,59313,59313,广东省,116.9861,23.6794,116.9861,23.6794,101281502,0
101281901,445200,445200,揭阳市,445200,揭阳,116.355733,23.543778,59315,59315,广东省,116.3983,23.5883,116.3983,23.5883,101281901,1
101281906,445202,445200,揭阳市,445202,榕城,116.357045,23.535524,59315,59315,广东省,116.3983,23.5883,116.3983,23.5883,101281906,0
101281905,445203,445200,揭阳市,445203,揭东,116.412947,23.569887,59315,59315,广东省,116.3983,23.5883,116.3983,23.5883,101281905,0
101281902,445222,445200,揭阳市,445222,揭西,115.838708,23.4273,59306,59306,广东省,115.8492,23.4497,115.8492,23.4497,101281902,0
101281904,445224,445200,揭阳市,445224,惠来,116.295832,23.029834,59317,59317,广东省,116.3014,22.9836,116.3014,22.9836,101281904,0
101281903,445281,445200,揭阳市,445281,普宁,116.165082,23.29788,59314,59314,广东省,116.1306,23.2944,116.1306,23.2944,101281903,0
101281401,445300,445300,云浮市,445300,云浮,112.044439,22.929801,59471,59471,广东省,112.0525,22.9414,112.0525,22.9414,101281401,1
101281405,445302,445300,云浮市,445302,云城,112.04471,22.930827,59471,59471,广东省,112.0525,22.9414,112.0525,22.9414,101281405,0
101281406,445303,445300,云浮市,445303,云安,112.005609,23.073152,59471,59471,广东省,112.0525,22.9414,112.0525,22.9414,101281406,0
101281403,445321,445300,云浮市,445321,新兴,112.23083,22.703204,59470,59470,广东省,112.2083,22.7019,112.2083,22.7019,101281403,0
101281404,445322,445300,云浮市,445322,郁南,111.535921,23.237709,59268,59268,广东省,111.5431,23.2597,111.5431,23.2597,101281404,0
101281402,445381,445300,云浮市,445381,罗定,111.578201,22.765415,59462,59462,广东省,111.6,22.71,111.6,22.71,101281402,0
101300101,450100,450100,南宁市,450100,南宁,108.320004,22.82402,59432,781520,广西壮族自治区,108.4,22.66,108.405,22.8031,101300101,1
101300102,450102,450100,南宁市,450102,兴宁区,108.320189,22.819511,59238,59238,广西壮族自治区,108.8333,23.25,108.8333,23.25,101300102,0
101300110,450103,450100,南宁市,450103,青秀,108.346113,22.816614,59431,59431,广西壮族自治区,108.55,22.7833,108.55,22.7833,101300110,0
101300111,450105,450100,南宁市,450105,江南区,108.310478,22.799593,59435,59435,广西壮族自治区,108.45,22.6833,108.45,22.6833,101300111,0
